Driver;Entraineur;Distance;Recul;Autostart;Deferre;Age;Sexe;Place;Gagnant;Favori;Outsider;Hippodrome;Date
F.P. Bossuet;OUI;2100;NON;OUI;NON;6;H;OUI;NON;OUI;NON;VINCENNES;
J.M. Bazire;NON;2100;NON;OUI;NON;6;H;OUI;NON;OUI;NON;VINCENNES;
L. Baudron;OUI;2100;NON;OUI;NON;6;F;NON;NON;NON;NON;VINCENNES;
T. Jansson;OUI;2100;OUI;OUI;NON;6;H;NON;NON;NON;NON;VINCENNES;
C. Lugauer;OUI;2100;NON;OUI;NON;6;M;NON;NON;OUI;NON;VINCENNES;
A. Barrier;NON;2850;OUI;NON;NON;7;F;NON;NON;OUI;NON;VINCENNES;
P.Y. Verva;NON;2850;OUI;NON;NON;8;H;NON;NON;NON;NON;VINCENNES;
P. Vercruysse;OUI;2850;NON;NON;NON;8;M;NON;NON;OUI;NON;VINCENNES;
E. Raffin;NON;2850;OUI;NON;NON;7;H;NON;NON;OUI;NON;VINCENNES;
F. Nivard;NON;2850;OUI;NON;NON;7;H;NON;NON;OUI;NON;VINCENNES;
J.L.Cl. Derso;NON;2100;OUI;OUI;NON;5;H;NON;NON;OUI;NON;VINCENNES;
P. Vercruysse;NON;2100;NON;OUI;NON;5;H;NON;NON;NON;NON;VINCENNES;
H. Langeweg J;OUI;2100;OUI;OUI;NON;4;M;OUI;NON;NON;NON;VINCENNES;
A. Abrivard;NON;2100;NON;OUI;NON;5;F;NON;NON;NON;NON;VINCENNES;
D. Locqueneux;NON;2100;NON;OUI;NON;5;M;OUI;NON;OUI;NON;VINCENNES;
J. Dubois;NON;2850;NON;NON;NON;7;H;NON;NON;OUI;NON;VINCENNES;
D. Thomain;NON;2850;NON;NON;NON;5;F;NON;NON;NON;NON;VINCENNES;
J.M. Bazire;NON;2850;OUI;NON;NON;5;M;NON;NON;OUI;NON;VINCENNES;
J.L.Cl. Derso;OUI;2850;NON;NON;NON;8;H;NON;NON;NON;NON;VINCENNES;
F. Ouvrie;NON;2850;NON;NON;NON;8;H;NON;NON;NON;NON;VINCENNES;
Ch. Martens;OUI;2700;NON;NON;OUI;7;F;NON;NON;NON;NON;VINCENNES;
J.L.Cl. Derso;OUI;2700;NON;NON;OUI;7;H;NON;NON;OUI;NON;VINCENNES;
E. Raffin;NON;2700;NON;NON;OUI;10;H;NON;NON;NON;NON;VINCENNES;
Mlle J. Lindq;NON;2700;NON;NON;NON;7;F;NON;NON;NON;NON;VINCENNES;
J.M. Bazire;NON;2700;NON;NON;OUI;7;F;NON;NON;NON;NON;VINCENNES;
A. Abrivard;OUI;2700;NON;NON;OUI;6;F;NON;NON;NON;NON;VINCENNES;
F. Nivard;NON;2700;NON;NON;OUI;6;F;NON;NON;OUI;NON;VINCENNES;
A. Barrier;NON;2700;NON;NON;OUI;7;F;NON;NON;NON;NON;VINCENNES;
P. Levesque;NON;2700;NON;NON;OUI;6;F;NON;NON;NON;NON;VINCENNES;
L. Baudron;OUI;2700;NON;NON;OUI;6;F;NON;NON;NON;NON;VINCENNES;
S. Roger;OUI;2700;NON;NON;OUI;4;F;NON;NON;NON;NON;VINCENNES;
W. Bigeon;OUI;2700;NON;NON;NON;4;F;NON;NON;OUI;NON;VINCENNES;
R. Metayer;OUI;2700;NON;NON;NON;4;F;NON;NON;NON;NON;VINCENNES;
A. Barrier;NON;2700;NON;NON;OUI;4;F;NON;NON;NON;NON;VINCENNES;
P.Y. Verva;NON;2700;NON;NON;NON;4;F;NON;NON;NON;NON;VINCENNES;
M. Mottier;OUI;2100;NON;OUI;OUI;4;F;OUI;NON;OUI;NON;VINCENNES;
L. Baudron;OUI;2100;NON;OUI;NON;4;M;NON;NON;OUI;NON;VINCENNES;
E. Lambertz;OUI;2100;OUI;OUI;OUI;4;M;NON;NON;NON;NON;VINCENNES;
Johnny Takter;NON;2100;NON;OUI;NON;4;M;NON;NON;NON;NON;VINCENNES;
E. Raffin;NON;2100;OUI;OUI;OUI;4;M;NON;NON;NON;NON;VINCENNES;
Ch.J. Bigeon;OUI;2700;NON;NON;NON;6;F;NON;NON;OUI;NON;VINCENNES;
E. Raffin;NON;2700;NON;NON;OUI;6;F;NON;NON;OUI;NON;VINCENNES;
F. Nivard;NON;2700;NON;NON;NON;6;F;NON;NON;OUI;NON;VINCENNES;
D. Brohier;OUI;2700;NON;NON;OUI;6;F;NON;NON;NON;NON;VINCENNES;
P.Y. Verva;NON;2700;NON;NON;OUI;6;F;NON;NON;NON;NON;VINCENNES;
F. Nivard;NON;2850;OUI;NON;OUI;6;H;NON;OUI;OUI;NON;VINCENNES;
J.L.Cl. Derso;OUI;2850;NON;NON;NON;6;H;NON;NON;NON;NON;VINCENNES;
F.P. Bossuet;OUI;2850;NON;NON;NON;6;H;OUI;NON;OUI;NON;VINCENNES;
P. Vercruysse;NON;2850;NON;NON;OUI;5;M;NON;NON;OUI;NON;VINCENNES;
J.Et. Dubois;OUI;2850;OUI;NON;NON;6;M;NON;NON;NON;NON;VINCENNES;
A. Abrivard;OUI;2700;NON;NON;OUI;6;F;NON;NON;OUI;NON;VINCENNES;
F. Nivard;NON;2700;NON;NON;OUI;6;F;NON;NON;OUI;NON;VINCENNES;
P. Vercruysse;NON;2700;NON;NON;NON;7;F;NON;NON;NON;NON;VINCENNES;
P. Levesque;NON;2700;NON;NON;OUI;6;F;NON;NON;OUI;NON;VINCENNES;
M. Abrivard;OUI;2700;NON;NON;NON;6;F;NON;NON;NON;NON;VINCENNES;
J.L.Cl. Derso;OUI;2850;NON;NON ;OUI;6;H;NON;NON;OUI;NON;VINCENNES;
Ch. Dreux;OUI;2850;NON;NON ;OUI;7;M;NON;NON;OUI;NON;VINCENNES;
F.P. Bossuet;OUI;2850;NON;NON ;NON;6;F;NON;NON;NON;NON;VINCENNES;
Ch. Martens;OUI;2850;NON;NON ;OUI;7;F;NON;NON;NON;NON;VINCENNES;
S. Ernault;NON;2850;OUI;NON ;OUI;8;H;OUI;NON;OUI;NON;VINCENNES;
J. Dubois;NON;2100;NON;OUI;NON;6;M;NON;NON;OUI;NON;VINCENNES;
A. Barrier;NON;2100;OUI;OUI;NON;6;F;NON;NON;NON;NON;VINCENNES;
