;Drivers;Entraineur;Distance;Recul/Ligne;Autostart;Déferré;AGE;Sexe;Parmi 5 premiers dernière 5 courses;Gagné 3 dernières courses;côte < 10/1;côte > 70/1;;
;J.L.Cl. Derso;NON;2700;NON;NON;NON;7;H;NON;NON;NON;NON;;
;S. Baude;OUI;2700;NON;NON;OUI;7;H;NON;NON;OUI;NON;;
;A. Barrier;NON;2700;NON;NON;OUI;8;M;NON;NON;NON;NON;;
;D. Bonne;NON;2700;NON;NON;OUI;8;M;NON;NON;OUI;NON;;
;J. Dubois;NON;2700;NON;NON;OUI;8;M;NON;NON;NON;NON;;
;d. locqueneux;NON;2850;NON;NON;NON;6;H;NON;NON;OUI;NON;;
;d. thomain;NON;2850;NON;NON;OUI;6;M;NON;NON;OUI;NON;;
;e. raffin;NON;2850;NON;NON ;OUI;8;H;NON;NON;OUI;NON;;
;d. dauverne;OUI;2850;NON;NON;OUI;6;H;NON;NON;OUI;NON;;
;p. vercruysse;NON;2850;NON;NON;OUI;6;H;NON;NON;NON;NON;;
;f. nivard;NON;2100;NON;OUI;OUI;7;M;NON;NON;OUI;NON;;
;f.p. bossuet;OUI;2100;OUI;OUI;NON;7;H;OUI;NON;OUI;NON;;
;l. baudron;OUI;2100;OUI;OUI;OUI;7;M;NON;NON;OUI;NON;;
;d. bonne;NON;2100;OUI;OUI;NON;7;F;NON;NON;OUI;NON;;
;s. desmarres;OUI;2100;NON;OUI;NON;9;H;NON;NON;OUI;NON;;
;f. nivard;NON;2100;OUI;OUI;OUI;7;H;OUI;OUI;OUI;NON;;
;j. verbeeck;NON;2100;NON;OUI;NON;8;M;NON;NON;OUI;NON;;
;ch. bigeon;OUI;2100;OUI;OUI;NON;6;M;NON;NON;NON;NON;;
;th. duvaldest;OUI;2100;NON;OUI;NON;8;H;NON;NON;OUI;NON;;
;j.l.cl. derso;OUI;2100;NON;OUI;NON;9;H;NON;NON;OUI;NON;;
;a. barrier;NON;2850;NON;NON;OUI;7;F;NON;NON;OUI;NON;;
;j. verbeeck;NON;2850;OUI;NON;OUI;7;F;NON;NON;OUI;NON;;
;t. le beller;NON;2850;OUI;NON;NON;7;F;NON;NON;OUI;NON;;
;j.m. bazire;NON;2850;OUI;NON;OUI;8;F;NON;NON;NON;NON;;
;ch. bigeon;OUI;2850;NON;NON;NON;7;F;NON;NON;NON;NON;;
;f. nivard;NON;2850;OUI;NON;OUI;7;H;NON;NON;OUI;NON;;
;f. lecanu;NON;2850;OUI;NON;OUI;7;H;NON;NON;OUI;NON;;
;j.ph. mary;OUI;2850;NON;NON;OUI;7;H;OUI;NON;OUI;NON;;
;a. barrier;NON;2850;NON;NON;OUI;7;H;NON;NON;OUI;NON;;
