Entraineur,Autostart,Deferre,Favori,Gagnant,Outsider,Age,Place,Recul,Sexe,Distance,Driver,Hippodrome,Date
NON,OUI,NON,NON,,OUI,JEUNE,,NON,F,COURT,NIVARD,VINCENNES,2 JANVIER 2017
OUI,OUI,NON,NON,,OUI,JEUNE,,NON,F,COURT,,VINCENNES,2 JANVIER 2017
NON,OUI,OUI,NON,,NON,JEUNE,,OUI,F,COURT,RAFFIN,VINCENNES,2 JANVIER 2017
NON,OUI,OUI,NON,,OUI,JEUNE,,OUI,F,COURT,OUVRIE,VINCENNES,2 JANVIER 2017
NON,NON,OUI, ,, ,MEDIUM,,NON,F,LONG,,VINCENNES,2 JANVIER 2017
OUI,NON,NON, ,, ,MEDIUM,,NON,F,LONG,BIGEON,VINCENNES,2 JANVIER 2017
NON,NON,OUI, ,, ,MEDIUM,,OUI,F,LONG,,VINCENNES,2 JANVIER 2017
NON,NON,NON, ,, ,MEDIUM,,OUI,F,LONG,,VINCENNES,2 JANVIER 2017
NON,NON,OUI, ,, ,MEDIUM,,OUI,F,LONG,BAZIRE,VINCENNES,2 JANVIER 2017
OUI,NON,NON, ,, ,JEUNE,,NON,M,COURT,,VINCENNES,2 JANVIER 2017
NON,NON,NON, ,, ,JEUNE,,NON,H,COURT,OUVRIE,VINCENNES,2 JANVIER 2017
NON,NON,OUI, ,, ,JEUNE,,NON,H,COURT,,VINCENNES,2 JANVIER 2017
OUI,NON,OUI, ,, ,JEUNE,,NON,M,COURT,,VINCENNES,2 JANVIER 2017
NON,NON,OUI, ,, ,JEUNE,,NON,M,COURT,RAFFIN,VINCENNES,2 JANVIER 2017
OUI,NON,OUI, ,, ,MEDIUM,,NON,F,COURT,,VINCENNES,2 JANVIER 2017
NON,NON,OUI, ,, ,MEDIUM,,NON,F,COURT,,VINCENNES,2 JANVIER 2017
NON,NON,OUI, ,, ,MEDIUM,,NON,F,COURT,NIVARD,VINCENNES,2 JANVIER 2017
OUI,NON,NON, ,, ,MEDIUM,,NON,F,COURT,,VINCENNES,2 JANVIER 2017
NON,NON,OUI, ,, ,MEDIUM,,NON,F,COURT,,VINCENNES,2 JANVIER 2017
OUI,NON,OUI, ,, ,MEDIUM,,NON,H,LONG,,VINCENNES,3 JANVIER 2015
NON,NON,OUI, ,, ,MEDIUM,,NON,M,LONG,RAFFIN,VINCENNES,3 JANVIER 2015
NON,NON,OUI, ,, ,MEDIUM,,NON,H,LONG,,VINCENNES,3 JANVIER 2015
NON,NON,OUI, ,, ,MEDIUM,,NON,H,LONG,VERCRUYSSE,VINCENNES,3 JANVIER 2015
OUI,NON,OUI, ,, ,MEDIUM,,OUI,M,LONG,,VINCENNES,3 JANVIER 2015
OUI,NON,OUI, ,, ,MEDIUM,,NON,F,COURT,,VINCENNES,3 JANVIER 2015
NON,NON,OUI, ,, ,MEDIUM,,NON,F,COURT,,VINCENNES,3 JANVIER 2015
NON,NON,OUI, ,, ,MEDIUM,,NON,F,COURT,NIVARD,VINCENNES,3 JANVIER 2015
OUI,NON,NON, ,, ,MEDIUM,,NON,F,COURT,,VINCENNES,3 JANVIER 2015
NON,NON,OUI, ,, ,MEDIUM,,NON,F,COURT,,VINCENNES,3 JANVIER 2015
OUI,NON,OUI, ,, ,MEDIUM,,NON,F,COURT,,VINCENNES,3 JANVIER 2015
NON,NON,OUI, ,, ,MEDIUM,,NON,F,COURT,LEVESQUE,VINCENNES,3 JANVIER 2015
OUI,NON,OUI, ,, ,MEDIUM,,NON,F,COURT,,VINCENNES,3 JANVIER 2015
NON,NON,OUI, ,, ,MEDIUM,,NON,F,COURT,OUVRIE,VINCENNES,3 JANVIER 2015
NON,NON,OUI, ,, ,MEDIUM,,NON,F,COURT,NIVARD,VINCENNES,3 JANVIER 2015
NON,NON,OUI, ,, ,MEDIUM,,NON,H,LONG,,VINCENNES,3 JANVIER 2015
OUI,NON,OUI, ,, ,MEDIUM,,NON,H,LONG,MARY,VINCENNES,3 JANVIER 2015
NON,NON,OUI, ,, ,MEDIUM,,NON,H,LONG,,VINCENNES,3 JANVIER 2015
NON,NON,OUI, ,, ,MEDIUM,,OUI,H,LONG,NIVARD,VINCENNES,3 JANVIER 2015
NON,NON,OUI, ,, ,MEDIUM,,OUI,H,LONG,,VINCENNES,3 JANVIER 2015
OUI,NON,OUI, ,, ,MEDIUM,,NON,H,LONG,,VINCENNES,3 JANVIER 2015
